26506,,,,,,,,,,,,,,,,,,
,,0-25,26-50,51-75,76-100,101-125,126-150,151-175,176-200,201-225,226-250,251-275,276-300,301-325,326-350,351-360,,
157.890625,144.25,,,,,,,,,,,,,,,,,
215.4375,145.25,,,,,,,,,,,,,,,,,
216.96875,143.25,,,,,,,,,,,,,,,,,
218.5,141.25,,,,,,,,,,,,,,,,,
220.03125,139.25,,,,,,,,,,,,,,,,,
221.515625,138.25,,,,,,,,,,,,,,,,,
222.984375,137.25,,,,,,,,,,,,,,,,,
224.53125,135.25,,,,,,,,,,,,,,,,,
226,134.25,,,,,,,,,,,,,,,,,
227.5,133.25,,,,,,,,,,,,,,,,,
228.96875,132.25,,,,,,,,,,,,,,,,,
230.453125,131.25,,,,,,,,,,,,,,,,,
228.75,195.25,,,,,,,,,,,,,,,,,
233.34375,130.25,,,,,,,,,,,,,,,,,
234.75,130.25,,,,,,,,,,,,,,,,,
236.234375,129.25,,,,,,,,,,,,,,,,,
237.640625,129.25,,,,,,,,,,,,,,,,,
239.0625,129.25,,,,,,,,,,,,,,,,,
240.546875,128.25,,,,,,,,,,,,,,,,,
241.953125,128.25,,,,,,,,,,,,,,,,,
243.359375,128.25,,,,,,,,,,,,,,,,,
244.78125,128.25,,,,,,,,,,,,,,,,,
246.109375,129.25,,,,,,,,,,,,,,,,,
247.515625,129.25,,,,,,,,,,,,,,,,,
245.734375,193.25,,,,,,,,,,,,,,,,,
250.34375,129.25,,,,,,,,,,,,,,,,,
251.671875,130.25,,,,,,,,,,,,,,,,,
253.078125,130.25,,,,,,,,,,,,,,,,,
254.421875,131.25,,,,,,,,,,,,,,,,,
255.765625,132.25,,,,,,,,,,,,,,,,,
257.171875,132.25,,,,,,,,,,,,,,,,,
258.515625,133.25,,,,,,,,,,,,,,,,,
259.84375,134.25,,,,,,,,,,,,,,,,,
261.203125,135.25,,,,,,,,,,,,,,,,,
262.53125,136.25,,,,,,,,,,,,,,,,,
263.875,137.25,,,,,,,,,,,,,,,,,
265.21875,138.25,,,,,,,,,,,,,,,,,
266.515625,140.25,,,,,,,,,,,,,,,,,
267.859375,141.25,,,,,,,,,,,,,,,,,
269.140625,143.25,,,,,,,,,,,,,,,,,
270.5,144.25,,,,,,,,,,,,,,,,,
327.265625,157.25,,,,,,,,,,,,,,,,,
328.671875,157.25,,,,,,,,,,,,,,,,,
330.078125,157.25,,,,,,,,,,,,,,,,,
329.1875,221.25,,,,,,,,,,,,,,,,,
332.890625,157.25,,,,,,,,,,,,,,,,,
334.296875,157.25,,,,,,,,,,,,,,,,,
335.703125,157.25,,,,,,,,,,,,,,,,,
337.125,157.25,,,,,,,,,,,,,,,,,
338.53125,157.25,,,,,,,,,,,,,,,,,
337.640625,221.25,,,,,,,,,,,,,,,,,
341.296875,158.25,,,,,,,,,,,,,,,,,
342.703125,158.25,,,,,,,,,,,,,,,,,
344.0625,159.25,,,,,,,,,,,,,,,,,
345.46875,159.25,,,,,,,,,,,,,,,,,
346.84375,160.25,,,,,,,,,,,,,,,,,
102.203125,165.25,,,,,,,,,,,,,,,,,
103.453125,168.25,,,,,,,,,,,,,,,,,
